n_lags,hidden_units,epochs,learning_rate,mse
12,90,400,0.01,1.5681792251040958
12,90,500,0.001,2.38094872237931
12,90,500,0.002,2.5329857689746365
12,90,500,0.003,1.7917863843503807
12,90,500,0.004,1.1218283167083563
12,90,500,0.005,2.590963694359562
12,90,500,0.006,1.187103482320836
12,90,500,0.007,3.544962845036269
12,90,500,0.008,4.591518790131736
12,90,500,0.009,0.37451041408095087
12,90,500,0.01,0.41019163296798333
12,100,200,0.001,1.777757535007345
12,100,200,0.002,0.9504975038980388
12,100,200,0.003,1.7142182767718643
12,100,200,0.004,0.473140786364618
12,100,200,0.005,3.850281249514452
12,100,200,0.006,2.654438398996072
12,100,200,0.007,2.963729669518726
12,100,200,0.008,2.1638491467847816
12,100,200,0.009,1.914402384529807
12,100,200,0.01,0.4881995858498627
12,100,300,0.001,1.5087001665857593
12,100,300,0.002,1.6171833511851494
12,100,300,0.003,2.4345339371529047
12,100,300,0.004,2.356355910966194
12,100,300,0.005,0.8195880091353956
12,100,300,0.006,6.076414521041804
12,100,300,0.007,2.8278480745490935
12,100,300,0.008,1.8500460694250978
12,100,300,0.009,1.7446079260447762
12,100,300,0.01,1.1131515458289536
12,100,400,0.001,3.856401768228965
12,100,400,0.002,0.7216698812957759
12,100,400,0.003,3.2589321972391874
12,100,400,0.004,2.435985566003832
12,100,400,0.005,4.037100009613568
12,100,400,0.006,2.001020714588613
12,100,400,0.007,1.5919108591747257
12,100,400,0.008,1.9452473803120807
12,100,400,0.009,0.9961214108985259
12,100,400,0.01,2.015515350278569
12,100,500,0.001,1.399258888842079
12,100,500,0.002,1.6040851418965028
12,100,500,0.003,1.6661670875317955
12,100,500,0.004,2.190440605106093
12,100,500,0.005,1.6603230764146861
12,100,500,0.006,0.608124805444823
12,100,500,0.007,0.7248622080798338
12,100,500,0.008,7.254725528501451
12,100,500,0.009,1.8189336364162672
12,100,500,0.01,1.8153885710975048
16,50,200,0.001,2.367753515403439
16,50,200,0.002,1.5128899026569131
16,50,200,0.003,0.9899859588813397
16,50,200,0.004,0.7840186602149766
16,50,200,0.005,3.526241925673316
16,50,200,0.006,1.9421303490810924
16,50,200,0.007,3.1360645101334566
16,50,200,0.008,1.2922417358896847
16,50,200,0.009,1.660350152607357
16,50,200,0.01,1.3608691057682842
16,50,300,0.001,4.011331540249252
16,50,300,0.002,1.2209556999511237
16,50,300,0.003,1.5851981830731898
16,50,300,0.004,2.0683911029176842
16,50,300,0.005,2.048212181965057
16,50,300,0.006,1.2147678472630254
16,50,300,0.007,1.240492700731161
16,50,300,0.008,1.7311885129247429
16,50,300,0.009,0.5955488339022729
16,50,300,0.01,1.9408225405036879
16,50,400,0.001,0.9212079224118878
16,50,400,0.002,1.1539847270400019
16,50,400,0.003,1.7066073171779355
16,50,400,0.004,1.0037003250742391
16,50,400,0.005,2.3824191416012663
16,50,400,0.006,1.2594706040269357
16,50,400,0.007,1.894422023939166
16,50,400,0.008,1.1687202390034013
16,50,400,0.009,0.6200563295304545
16,50,400,0.01,1.5879678930593937
16,50,500,0.001,2.109935930294832
16,50,500,0.002,1.00406370201777
16,50,500,0.003,2.964853430232756
16,50,500,0.004,1.274444527632394
16,50,500,0.005,0.44623730338154277
16,50,500,0.006,0.5514376360206952
16,50,500,0.007,1.115352392365009
16,50,500,0.008,1.6087995306315548
16,50,500,0.009,0.6189914852553324
16,50,500,0.01,1.606816441259561
16,60,200,0.001,1.219237121309808
16,60,200,0.002,1.4012627377830003
16,60,200,0.003,2.4765563120630296
16,60,200,0.004,1.219725389116032
16,60,200,0.005,0.49208897900361914
16,60,200,0.006,0.41150009840680757
16,60,200,0.007,0.8639850285586315
16,60,200,0.008,1.3380951788257376
16,60,200,0.009,1.2231797046016
16,60,200,0.01,0.9548466165125423
16,60,300,0.001,0.9816741476934764
16,60,300,0.002,2.1802213716233108
16,60,300,0.003,0.8761626163716127
16,60,300,0.004,1.359344653358062
16,60,300,0.005,1.7438889546453609
16,60,300,0.006,1.5552391820901137
16,60,300,0.007,4.224608335947273
16,60,300,0.008,4.855637378799973
16,60,300,0.009,1.5594791698537287
16,60,300,0.01,5.352268223167951
16,60,400,0.001,1.2191518349263422
16,60,400,0.002,2.205661042107286
16,60,400,0.003,1.3580332376771758
16,60,400,0.004,1.469009349594149
16,60,400,0.005,1.2459202275851167
16,60,400,0.006,0.766949883189791
16,60,400,0.007,0.5865984100840563
16,60,400,0.008,1.2060296761714644
16,60,400,0.009,1.4017261407093458
16,60,400,0.01,0.7922912605962313
16,60,500,0.001,0.5286869732653524
16,60,500,0.002,2.4604571170377922
16,60,500,0.003,1.1453737182223171
16,60,500,0.004,0.8566966280317138
16,60,500,0.005,1.31051354392501
16,60,500,0.006,2.901979835600926
16,60,500,0.007,3.772231828049982
16,60,500,0.008,0.8151986195951803
16,60,500,0.009,1.381894028995653
16,60,500,0.01,0.7405736081806117
16,70,200,0.001,0.777953876291993
16,70,200,0.002,0.8233944605822741
16,70,200,0.003,1.2234149656540279
16,70,200,0.004,1.995558283312923
16,70,200,0.005,1.3957841521608676
16,70,200,0.006,1.2841630130176152
16,70,200,0.007,0.8225081816481938
16,70,200,0.008,1.9428687977161052
16,70,200,0.009,1.9988025333027697
16,70,200,0.01,1.0178488929666847
16,70,300,0.001,1.0613541861551867
16,70,300,0.002,1.0418750979837785
16,70,300,0.003,1.7407265199189021
16,70,300,0.004,0.7369474499152946
16,70,300,0.005,2.4507303912356937
16,70,300,0.006,4.352174016662879
16,70,300,0.007,1.2616684630890802
16,70,300,0.008,1.613839316685722
