n_lags,hidden_units,epochs,learning_rate,mse
16,50,300,0.007,0.22898101629804793
16,50,300,0.008,0.23347231073191696
16,50,300,0.009,0.18384658145786353
16,50,300,0.01,0.28436385211978393
16,50,400,0.001,0.2253906424766232
16,50,400,0.002,0.21623701854258606
16,50,400,0.003,0.23117904819338123
16,50,400,0.004,0.21844008890850466
16,50,400,0.005,0.23584193371302034
16,50,400,0.006,0.22707334062515755
16,50,400,0.007,0.23857012211455175
16,50,400,0.008,0.27140696460160124
16,50,400,0.009,0.2398894494994385
16,50,400,0.01,0.24391686639560523
16,50,500,0.001,0.29158363213231664
16,50,500,0.002,0.22891097877410918
16,50,500,0.003,0.2267702772716645
16,50,500,0.004,0.24805011415818196
16,50,500,0.005,0.22764137398071915
16,50,500,0.006,0.24622308747362723
16,50,500,0.007,0.23452060299404237
16,50,500,0.008,0.22154153382055009
16,50,500,0.009,0.22495686325062467
16,50,500,0.01,0.22577736227191197
16,60,200,0.001,0.22880713528587682
16,60,200,0.002,0.3206508664885013
16,60,200,0.003,0.2892583542736155
16,60,200,0.004,0.20989639754503178
16,60,200,0.005,0.2276090602972806
16,60,200,0.006,0.24347430847324092
16,60,200,0.007,0.20947770340018143
16,60,200,0.008,0.23669664194305207
16,60,200,0.009,0.24534872239967742
16,60,200,0.01,0.21464858140168397
16,60,300,0.001,0.2388873965031762
16,60,300,0.002,0.23965855529877
16,60,300,0.003,0.23138698233395788
16,60,300,0.004,0.24463965965938558
16,60,300,0.005,0.23578950628156525
16,60,300,0.006,0.2307494312084269
16,60,300,0.007,0.21809217359909638
16,60,300,0.008,0.21915925920629928
16,60,300,0.009,0.21199450573319883
16,60,300,0.01,0.26476323353137216
16,60,400,0.001,0.3084287626148822
16,60,400,0.002,0.1778032630008305
16,60,400,0.003,0.2239771197139066
16,60,400,0.004,0.22783622183724253
16,60,400,0.005,0.2088918888017843
16,60,400,0.006,0.2759229137317248
16,60,400,0.007,0.28984444949319105
16,60,400,0.008,0.21873922696483725
16,60,400,0.009,0.20180554583788332
16,60,400,0.01,0.3886245884159403
16,60,500,0.001,0.2807687206249156
16,60,500,0.002,0.2323036611249381
16,60,500,0.003,0.22734639741088217
16,60,500,0.004,0.2463021650454563
16,60,500,0.005,0.23220770777270483
16,60,500,0.006,0.2391975980347624
16,60,500,0.007,0.23432382559556988
16,60,500,0.008,0.2254889260760841
16,60,500,0.009,0.22281070088798358
16,60,500,0.01,0.2033138695933977
16,70,200,0.001,0.17735728532459627
16,70,200,0.002,0.2249012573752785
16,70,200,0.003,0.2267460885171064
16,70,200,0.004,0.24894182013250518
16,70,200,0.005,0.2420301134759439
16,70,200,0.006,0.22041113382709465
16,70,200,0.007,0.3668003280858542
16,70,200,0.008,0.40047027691540604
16,70,200,0.009,0.20380922320743788
16,70,200,0.01,0.20070125162164232
16,70,300,0.001,0.2525765605161057
16,70,300,0.002,0.24860656080485855
16,70,300,0.003,0.20519064946045007
16,70,300,0.004,0.22948757183324411
16,70,300,0.005,0.2509507980423992
16,70,300,0.006,0.2502905707262397
16,70,300,0.007,0.22802397165606417
16,70,300,0.008,0.22682372851087673
