date;inflation
1985m6;35.10
1985m7;35.70
1985m8;36.50
1985m9;34.30
1985m10;26.00
1985m11;26.50
1985m12;26.40
1986m1;25.90
1986m2;24.50
1986m3;22.90
1986m4;21.80
1986m5;20.30
1986m6;17.60
1986m7;17.20
1986m8;16.90
1986m9;17.30
1986m10;17.30
1986m11;17.10
1986m12;17.40
1987m1;16.60
1987m2;17.50
1987m3;17.70
1987m4;18.80
1987m5;19.70
1987m6;19.00
1987m7;19.80
1987m8;20.80
1987m9;21.20
1987m10;22.30
1987m11;22.90
1987m12;21.50
1988m1;19.90
1988m2;18.30
1988m3;18.60
1988m4;16.80
1988m5;15.60
1988m6;15.50
1988m7;13.70
1988m8;13.00
1988m9;12.00
1988m10;11.00
1988m11;10.90
1988m12;12.70
1989m1;13.10
1989m2;12.80
1989m3;12.90
1989m4;13.20
1989m5;14.80
1989m6;16.20
1989m7;18.10
1989m8;18.40
1989m9;19.70
1989m10;21.40
1989m11;21.10
1989m12;21.40
1990m1;23.10
1990m2;23.30
1990m3;23.90
1990m4;24.80
1990m5;24.30
1990m6;24.80
1990m7;24.60
1990m8;25.80
1990m9;29.30
1990m10;30.40
1990m11;29.40
1990m12;27.30
1991m1;24.80
1991m2;24.50
1991m3;23.00
1991m4;23.10
1991m5;24.30
1991m6;23.80
1991m7;24.00
1991m8;23.00
1991m9;18.80
1991m10;17.80
1991m11;17.80
1991m12;18.70
1992m1;19.50
1992m2;18.60
1992m3;18.00
1992m4;17.40
1992m5;15.80
1992m6;14.50
1992m7;13.70
1992m8;13.90
1992m9;15.10
1992m10;13.40
1992m11;14.00
1992m12;12.70
1993m1;11.70
1993m2;12.80
1993m3;12.70
1993m4;12.80
1993m5;13.20
1993m6;13.00
1993m7;12.80
1993m8;13.60
1993m9;12.30
1993m10;13.60
1993m11;12.10
1993m12;12.20
1994m1;13.20
1994m2;13.10
1994m3;13.70
1994m4;12.70
1994m5;12.70
1994m6;12.70
1994m7;12.30
1994m8;11.20
1994m9;10.40
1994m10;8.30
1994m11;8.90
1994m12;8.90
1995m1;8.50
1995m2;8.70
1995m3;8.20
1995m4;8.30
1995m5;7.40
1995m6;7.60
1995m7;7.90
1995m8;8.50
1995m9;8.60
1995m10;8.80
1995m11;8.20
1995m12;8.20
1996m1;7.80
1996m2;7.80
1996m3;7.90
1996m4;8.40
1996m5;8.60
1996m6;8.30
1996m7;7.70
1996m8;6.40
1996m9;6.30
1996m10;6.20
1996m11;6.60
1996m12;6.60
1997m1;6.90
1997m2;7.20
1997m3;6.80
1997m4;6.10
1997m5;5.40
1997m6;5.30
1997m7;5.60
1997m8;5.60
1997m9;6.00
1997m10;6.60
1997m11;6.30
1997m12;6.00
1998m1;6.20
1998m2;5.20
1998m3;5.30
1998m4;5.40
1998m5;5.30
1998m6;5.40
1998m7;5.30
1998m8;5.20
1998m9;4.80
1998m10;4.30
1998m11;4.30
1998m12;4.70
1999m1;3.60
1999m2;3.80
1999m3;4.10
1999m4;4.00
1999m5;4.00
1999m6;3.80
1999m7;3.40
1999m8;3.20
1999m9;2.90
1999m10;2.50
1999m11;2.60
1999m12;2.30
2000m1;2.80
2000m2;3.30
2000m3;3.40
2000m4;3.50
2000m5;3.60
2000m6;3.70
2000m7;3.80
2000m8;3.90
2000m9;4.20
2000m10;4.50
2000m11;4.70
2000m12;4.50
2001m1;4.70
2001m2;3.80
2001m3;3.50
2001m4;3.50
2001m5;3.70
2001m6;3.60
2001m7;3.20
2001m8;3.80
2001m9;3.90
2001m10;3.40
2001m11;3.10
2001m12;2.60
2002m1;2.20
2002m2;2.50
2002m3;2.60
2002m4;2.50
2002m5;2.10
2002m6;2.00
2002m7;2.60
2002m8;2.20
2002m9;2.30
2002m10;3.00
2002m11;3.00
2002m12;2.80
2003m1;3.00
2003m2;3.80
2003m3;4.50
2003m4;4.00
2003m5;3.50
2003m6;3.60
2003m7;3.10
2003m8;2.90
2003m9;2.20
2003m10;1.20
2003m11;1.00
2003m12;1.10
2004m1;0.80
2004m2;0.00
2004m3;-0.70
2004m4;-0.30
2004m5;0.60
2004m6;1.10
2004m7;1.40
2004m8;1.60
2004m9;1.50
2004m10;1.90
2004m11;2.50
2004m12;2.40
2005m1;2.30
2005m2;2.20
2005m3;2.40
2005m4;2.90
2005m5;2.70
2005m6;2.70
2005m7;3.10
2005m8;3.00
2005m9;3.90
2005m10;4.10
2005m11;3.60
2005m12;3.70
2006m1;4.10
2006m2;4.10
2006m3;4.00
2006m4;3.80
2006m5;3.70
2006m6;3.90
2006m7;3.80
2006m8;3.80
2006m9;2.80
2006m10;2.10
2006m11;2.10
2006m12;2.60
2007m1;2.80
2007m2;2.70
2007m3;2.60
2007m4;2.50
2007m5;2.90
2007m6;3.20
2007m7;3.80
2007m8;4.70
2007m9;5.80
2007m10;6.50
2007m11;7.40
2007m12;7.80
2008m1;7.50
2008m2;8.10
2008m3;8.50
2008m4;8.30
2008m5;8.90
2008m6;9.50
2008m7;9.50
2008m8;9.30
2008m9;9.20
2008m10;9.90
2008m11;8.90
2008m12;7.10
2009m1;6.30
2009m2;5.50
2009m3;5.00
2009m4;4.50
2009m5;3.00
2009m6;1.90
2009m7;0.30
2009m8;-1.00
2009m9;-1.10
2009m10;-1.90
2009m11;-2.30
2009m12;-1.40
2010m1;-1.30
2010m2;0.30
2010m3;0.30
2010m4;0.90
2010m5;1.50
2010m6;1.20
2010m7;2.30
2010m8;2.60
2010m9;1.90
2010m10;2.00
2010m11;2.50
2010m12;3.00
2011m1;2.70
2011m2;2.70
2011m3;3.40
2011m4;3.20
2011m5;3.30
2011m6;3.40
2011m7;2.90
2011m8;3.20
2011m9;3.30
2011m10;3.70
2011m11;3.90
2011m12;4.40
2012m1;4.20
2012m2;4.40
2012m3;3.80
2012m4;3.50
2012m5;3.10
2012m6;2.70
2012m7;2.50
2012m8;2.60
2012m9;2.80
2012m10;2.90
2012m11;2.10
2012m12;1.50
2013m1;1.60
2013m2;1.30
2013m3;1.50
2013m4;1.00
2013m5;0.90
2013m6;1.90
2013m7;2.20
2013m8;2.20
2013m9;2.00
2013m10;1.50
2013m11;2.40
2013m12;3.00
2014m1;2.80
2014m2;3.20
2014m3;3.50
2014m4;4.30
2014m5;4.70
2014m6;4.30
2014m7;4.50
2014m8;4.50
2014m9;4.90
2014m10;5.70
2014m11;5.50
2014m12;4.60
2015m1;4.50
2015m2;4.40
2015m3;4.20
2015m4;4.10
2015m5;4.00
2015m6;4.40
2015m7;4.60
2015m8;5.00
2015m9;4.60
2015m10;4.00
2015m11;3.90
2015m12;4.40
2016m1;4.80
2016m2;4.70
2016m3;4.50
2016m4;4.20
2016m5;4.20
2016m6;4.20
2016m7;4.00
2016m8;3.40
2016m9;3.10
2016m10;2.80
2016m11;2.90
2016m12;2.70
2017m1;2.80
2017m2;2.70
2017m3;2.70
2017m4;2.70
2017m5;2.60
2017m6;1.70
2017m7;1.70
2017m8;1.90
2017m9;1.50
2017m10;1.90
2017m11;1.90
2017m12;2.30
2018m1;2.20
2018m2;2.00
2018m3;1.80
2018m4;1.90
2018m5;2.00
2018m6;2.50
2018m7;2.70
2018m8;2.60
2018m9;3.10
2018m10;2.90
2018m11;2.80
2018m12;2.60
2019m1;1.80
2019m2;1.70
2019m3;2.00
2019m4;2.00
2019m5;2.30
2019m6;2.30
2019m7;2.20
2019m8;2.30
2019m9;2.10
2019m10;2.50
2019m11;2.70
2019m12;3.00
2020m1;3.50
2020m2;3.90
2020m3;3.70
2020m4;3.40
2020m5;2.80
2020m6;2.60
2020m7;2.50
2020m8;2.40
2020m9;3.10
2020m10;3.00
2020m11;2.70
2020m12;3.00
2021m1;3.10
2021m2;2.80
2021m3;2.90
2021m4;3.30
2021m5;3.60
2021m6;3.80
